Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
531449,GRM Overseas Ltd,Atul Garg,Promoter & Director,Equity Shares,42492067,20.50,Equity Shares,150000,18299025.00,Acquisition,Equity,42642067,20.58,08 Jun 2026,08 Jun 2026,09 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
531449,GRM Overseas Ltd,Atul Garg,Promoter & Director,Equity Shares,42492067,20.50,Equity Shares,150000,18299025.00,Acquisition,Equity,42642067,20.58,08 Jun 2026,08 Jun 2026,09 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
542752,Affle 3I Ltd,Nikhil Kumar,Designated Person,Equity Shares,0,0.00,Equity Shares,11930,12526500.00,Acquisition,Equity,11930,0.00,09 Jun 2026,09 Jun 2026,10 Jun 2026,ESOP,,,,,,,NA,11 Jun 2026
542752,Affle 3I Ltd,Nikhil Kumar,Designated Person,Equity Shares,11930,0.00,Equity Shares,0,0.00,Pledge,Equity,11930,0.00,10 Jun 2026,10 Jun 2026,10 Jun 2026,Creation Of Pledge,,,,,,,NA,11 Jun 2026
542752,Affle 3I Ltd,Sachin Arora,Designated Person,Equity Shares,0,0.00,Equity Shares,150,222175.00,Acquisition,Equity,150,0.00,08 Jun 2026,09 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
542752,Affle 3I Ltd,Affle India  Limited Employees Welfare Trust,Trust,Equity Shares,185827,0.10,Equity Shares,11930,12526500.00,Disposal,Equity,173897,0.10,09 Jun 2026,09 Jun 2026,09 Jun 2026,ESOP,,,,,,,NA,11 Jun 2026
507998,Simmonds Marshall Ltd,Navroze Shiamak Marshall,Promoter,Equity Shares,4729057,42.23,Equity Shares,6233,1063993.00,Acquisition,Equity,4735290,42.28,09 Jun 2025,09 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
507998,Simmonds Marshall Ltd,Navroze Shiamak Marshall,Promoter,Equity Shares,4720290,42.15,Equity Shares,8767,1495550.00,Acquisition,Equity,4729057,42.23,05 Jun 2026,08 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Equity Shares,4411349,12.21,Equity Shares,39500,1096520.00,Acquisition,Equity,4450849,12.32,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
531802,Prerna Infrabuild Ltd,VIJAY CHANDULAL SHAH HUF,Promoter Group,Equity Shares,4384933,12.14,Equity Shares,26416,629656.00,Acquisition,Equity,4411349,12.21,08 Jun 2026,09 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
